"Item","Name","Namespace","Category","Current","Suggested","KnownCost","CostSource","Steps","IngredientCount","RecipeCount","Processes","Candidate","Flags"
"accents:holstered_belt","Holstered Belt","accents","manual","0",,,"","0","1","1","recipe","False",""
"accents:horns","Horns","accents","manual","0",,,"","0","1","1","recipe","False",""
"accents:kasa_hat","Kasa Hat","accents","manual","0",,,"","0","1","1","recipe","False",""
"accents:overtop_hat","Overtop Hat","accents","manual","0",,,"","0","1","1","recipe","False",""
"accents:pickelhaube","Pickelhaube","accents","manual","0",,,"","0","1","1","recipe","False",""
"accents:pirate_hat","Pirate Hat","accents","manual","0",,,"","0","1","1","recipe","False",""
"accents:pumpkin_hat","Pumpkin Hat","accents","crop","0","10","10","heuristic","0","1","1","recipe","True","missing candidate"
"accents:quiver","Quiver","accents","manual","0",,,"","0","1","1","recipe","False",""
"accents:sewing_kit","Sewing Kit","accents","manual","0",,,"","0","3","1","recipe","False",""
"accents:sewing_station","Sewing Table","accents","manual","0",,,"","0","4","1","recipe","False",""
"accents:sheathed_katana","Sheathed Katana","accents","manual","0",,,"","0","1","1","recipe","False",""
"accents:skull","Skull","accents","manual","0",,,"","0","1","1","recipe","False",""
"accents:sombrero","Sombrero","accents","manual","0",,,"","0","1","1","recipe","False",""
"accents:straw_hat","Straw Hat","accents","manual","0",,,"","0","1","1","recipe","False",""
"accents:top_hat","Top Hat","accents","manual","0",,,"","0","1","1","recipe","False",""
"accents:wings","Wings","accents","manual","0",,,"","0","1","1","recipe","False",""
"accents:wizard_hat","Wizard Hat","accents","manual","0",,,"","0","1","1","recipe","False",""
"additionaladditions:rope","rope","additionaladditions","manual","0",,,"","0","0","0","","False",""
"adorn:cobblemon/apricorn_bench","cobblemon/apricorn_bench","adorn","crop","0","10","10","heuristic","0","1","1","recipe","True","missing candidate"
"adorn:cobblemon/apricorn_chair","cobblemon/apricorn_chair","adorn","blocked","0",,,"","0","2","1","recipe","False",""
"adorn:cobblemon/apricorn_coffee_table","cobblemon/apricorn_coffee_table","adorn","blocked","0",,,"","0","3","1","recipe","False",""
"adorn:cobblemon/apricorn_drawer","cobblemon/apricorn_drawer","adorn","blocked","0",,,"","0","2","1","recipe","False",""
"adorn:cobblemon/apricorn_kitchen_counter","cobblemon/apricorn_kitchen_counter","adorn","crop","0","10","10","heuristic","0","2","1","recipe","True","missing candidate"
"adorn:cobblemon/apricorn_kitchen_cupboard","cobblemon/apricorn_kitchen_cupboard","adorn","crop","0","10","10","heuristic","0","3","1","recipe","True","missing candidate"
"adorn:cobblemon/apricorn_kitchen_sink","cobblemon/apricorn_kitchen_sink","adorn","crop","0","10","10","heuristic","0","2","1","recipe","True","missing candidate"
"adorn:cobblemon/apricorn_platform","cobblemon/apricorn_platform","adorn","crop","0","10","10","heuristic","0","2","1","recipe","True","missing candidate"
"adorn:cobblemon/apricorn_post","cobblemon/apricorn_post","adorn","crop","0","10","10","heuristic","0","2","1","recipe","True","missing candidate"
"adorn:cobblemon/apricorn_shelf","cobblemon/apricorn_shelf","adorn","blocked","0",,,"","0","2","1","recipe","False",""
"adorn:cobblemon/apricorn_step","cobblemon/apricorn_step","adorn","crop","0","10","10","heuristic","0","2","1","recipe","True","missing candidate"
"adorn:cobblemon/apricorn_table","cobblemon/apricorn_table","adorn","blocked","0",,,"","0","2","1","recipe","False",""
"adorn:cobblemon/saccharine_bench","cobblemon/saccharine_bench","adorn","crop","0","10","10","heuristic","0","1","1","recipe","True","missing candidate"
"adorn:cobblemon/saccharine_chair","cobblemon/saccharine_chair","adorn","blocked","0",,,"","0","2","1","recipe","False",""
"adorn:cobblemon/saccharine_coffee_table","cobblemon/saccharine_coffee_table","adorn","blocked","0",,,"","0","3","1","recipe","False",""
"adorn:cobblemon/saccharine_drawer","cobblemon/saccharine_drawer","adorn","blocked","0",,,"","0","2","1","recipe","False",""
"adorn:cobblemon/saccharine_kitchen_counter","cobblemon/saccharine_kitchen_counter","adorn","crop","0","10","10","heuristic","0","2","1","recipe","True","missing candidate"
"adorn:cobblemon/saccharine_kitchen_cupboard","cobblemon/saccharine_kitchen_cupboard","adorn","crop","0","10","10","heuristic","0","3","1","recipe","True","missing candidate"
"adorn:cobblemon/saccharine_kitchen_sink","cobblemon/saccharine_kitchen_sink","adorn","crop","0","10","10","heuristic","0","2","1","recipe","True","missing candidate"
"adorn:cobblemon/saccharine_platform","cobblemon/saccharine_platform","adorn","crop","0","10","10","heuristic","0","2","1","recipe","True","missing candidate"
"adorn:cobblemon/saccharine_post","cobblemon/saccharine_post","adorn","crop","0","10","10","heuristic","0","2","1","recipe","True","missing candidate"
"adorn:cobblemon/saccharine_shelf","cobblemon/saccharine_shelf","adorn","blocked","0",,,"","0","2","1","recipe","False",""
"adorn:cobblemon/saccharine_step","cobblemon/saccharine_step","adorn","crop","0","10","10","heuristic","0","2","1","recipe","True","missing candidate"
"adorn:cobblemon/saccharine_table","cobblemon/saccharine_table","adorn","blocked","0",,,"","0","2","1","recipe","False",""
"ae2:certus_quartz_crystal","certus_quartz_crystal","ae2","manual","0",,,"","0","0","0","","False",""
"ae2:certus_quartz_dust","certus_quartz_dust","ae2","manual","0",,,"","0","1","3","create,recipe","False",""
"ae2:charged_certus_quartz_crystal","charged_certus_quartz_crystal","ae2","manual","0",,,"","0","1","2","create,recipe","False",""
"ae2:ender_dust","ender_dust","ae2","manual","0",,,"","0","1","1","create","False",""
"ae2:fluix_crystal","fluix_crystal","ae2","manual","0",,,"","0","2","1","create","False",""
"ae2:fluix_dust","fluix_dust","ae2","manual","0",,,"","0","1","2","recipe","False",""
"ae2:quartz_cluster","quartz_cluster","ae2","manual","0",,,"","0","0","0","","False",""
"ae2:sky_dust","sky_dust","ae2","manual","0",,"320","recipe","1","1","2","recipe","False",""
"ae2:sky_stone_block","sky_stone_block","ae2","feast","0","440","320","heuristic","0","0","0","","True","missing candidate"
"aeronautics:levitite_blend_bucket","levitite_blend_bucket","aeronautics","manual","0",,,"","0","0","0","","False",""
"alexscaves:smooth_limestone","smooth_limestone","alexscaves","manual","0",,,"","0","2","1","recipe","False",""
"alexsmobs:fish_oil","fish_oil","alexsmobs","fish","0","24","24","heuristic","0","0","0","","True","missing candidate"
"alexsmobs:lava_bottle","lava_bottle","alexsmobs","manual","0",,"4","recipe","1","1","1","create","False",""
"animalhatmod:armadillo_hat_helmet","Armadillo Hat","animalhatmod","blocked","0",,,"","0","3","1","recipe","False",""
"animalhatmod:axolotl_hat_helmet","Axolotl Hat","animalhatmod","blocked","0",,,"","0","3","1","recipe","False",""
"animalhatmod:bat_hat_helmet","Bat Hat","animalhatmod","blocked","0",,,"","0","3","1","recipe","False",""
"animalhatmod:bee_hat_helmet","Bee Hat","animalhatmod","blocked","0",,,"","0","3","1","recipe","False",""
"animalhatmod:black_sheep_hat_helmet","Black Sheep Hat","animalhatmod","blocked","0",,,"","0","2","1","recipe","False",""
"animalhatmod:blue_sheep_hat_helmet","Blue Sheep Hat","animalhatmod","blocked","0",,,"","0","2","1","recipe","False",""
"animalhatmod:brown_sheep_hat_helmet","Brown Sheep Hat","animalhatmod","blocked","0",,,"","0","2","1","recipe","False",""
"animalhatmod:bunny_hat_helmet","Bunny Hat","animalhatmod","blocked","0",,,"","0","3","1","recipe","False",""
"animalhatmod:camel_hat_helmet","Camel Hat","animalhatmod","blocked","0",,,"","0","2","1","recipe","False",""
"animalhatmod:cat_hat_helmet","Cat Hat","animalhatmod","blocked","0",,,"","0","3","1","recipe","False",""
"animalhatmod:chicken_hat_helmet","Chicken Hat","animalhatmod","blocked","0",,,"","0","3","1","recipe","False",""
"animalhatmod:cow_hat_helmet","Cow Hat","animalhatmod","blocked","0",,,"","0","3","1","recipe","False",""
"animalhatmod:cyan_sheep_hat_helmet","Cyan Sheep Hat","animalhatmod","blocked","0",,,"","0","2","1","recipe","False",""
"animalhatmod:dolphin_hat_helmet","Dolphin Hat","animalhatmod","blocked","0",,,"","0","2","1","recipe","False",""
"animalhatmod:donkey_hat_helmet","Donkey Hat","animalhatmod","blocked","0",,,"","0","3","1","recipe","False",""
"animalhatmod:fox_hat_helmet","Fox Hat","animalhatmod","blocked","0",,,"","0","3","1","recipe","False",""
"animalhatmod:frog_hat_helmet","Frog Hat","animalhatmod","blocked","0",,,"","0","4","1","recipe","False",""
"animalhatmod:goat_hat_helmet","Goat Hat","animalhatmod","blocked","0",,,"","0","3","1","recipe","False",""
"animalhatmod:gray_sheep_hat_helmet","Gray Sheep Hat","animalhatmod","blocked","0",,,"","0","2","1","recipe","False",""
"animalhatmod:green_sheep_hat_helmet","Green Sheep Hat","animalhatmod","blocked","0",,,"","0","2","1","recipe","False",""
"animalhatmod:horse_hat_helmet","Horse Hat","animalhatmod","blocked","0",,,"","0","3","1","recipe","False",""
"animalhatmod:light_blue_sheep_hat_helmet","Light Blue Sheep Hat","animalhatmod","blocked","0",,,"","0","2","1","recipe","False",""
"animalhatmod:light_gray_sheep_hat_helmet","Light Gray Sheep Hat","animalhatmod","blocked","0",,,"","0","2","1","recipe","False",""
"animalhatmod:lime_sheep_hat_helmet","Lime Sheep Hat","animalhatmod","blocked","0",,,"","0","2","1","recipe","False",""
"animalhatmod:llama_hat_helmet","Llama Hat","animalhatmod","blocked","0",,,"","0","2","1","recipe","False",""
"animalhatmod:magenta_sheep_hat_helmet","Magenta Sheep Hat","animalhatmod","blocked","0",,,"","0","2","1","recipe","False",""
"animalhatmod:ocelot_hat_helmet","Ocelot Hat","animalhatmod","blocked","0",,,"","0","3","1","recipe","False",""
"animalhatmod:orange_sheep_hat_helmet","Orange Sheep Hat","animalhatmod","blocked","0",,,"","0","2","1","recipe","False",""
"animalhatmod:panda_hat_helmet","Panda Hat","animalhatmod","blocked","0",,,"","0","3","1","recipe","False",""
"animalhatmod:pig_hat_helmet","Pig Hat","animalhatmod","blocked","0",,,"","0","2","1","recipe","False",""
"animalhatmod:pink_sheep_hat_helmet","Pink Sheep Hat","animalhatmod","blocked","0",,,"","0","2","1","recipe","False",""
"animalhatmod:polar_bear_hat_helmet","Polar Bear Hat","animalhatmod","blocked","0",,,"","0","2","1","recipe","False",""
"animalhatmod:pufferfish_hat_helmet","Pufferfish Hat","animalhatmod","blocked","0",,,"","0","3","1","recipe","False",""
"animalhatmod:purple_sheep_hat_helmet","Purple Sheep Hat","animalhatmod","blocked","0",,,"","0","2","1","recipe","False",""
"animalhatmod:red_sheep_hat_helmet","Red Sheep Hat","animalhatmod","blocked","0",,,"","0","2","1","recipe","False",""
"animalhatmod:sheep_hat_helmet","Sheep Hat","animalhatmod","blocked","0",,,"","0","2","1","recipe","False",""
"animalhatmod:sniffer_hat_helmet","Sniffer Hat","animalhatmod","blocked","0",,,"","0","5","1","recipe","False",""
"animalhatmod:squid_hat_helmet","Squid Hat","animalhatmod","blocked","0",,,"","0","3","1","recipe","False",""
"animalhatmod:strider_hat_helmet","Strider Hat","animalhatmod","blocked","0",,,"","0","3","1","recipe","False",""
"animalhatmod:turtle_hat_helmet","Turtle Hat","animalhatmod","blocked","0",,,"","0","3","1","recipe","False",""
"animalhatmod:wolf_hat_helmet","Wolf Hat","animalhatmod","blocked","0",,,"","0","3","1","recipe","False",""
"animalhatmod:yellow_sheep_hat_helmet","Yellow Sheep Hat","animalhatmod","blocked","0",,,"","0","2","1","recipe","False",""
"another_furniture:acacia_bench","Acacia Bench","another_furniture","blocked","0",,,"","0","2","1","recipe","False",""
"another_furniture:acacia_chair","Acacia Chair","another_furniture","blocked","0",,,"","0","2","1","recipe","False",""
"another_furniture:acacia_drawer","Acacia Drawer","another_furniture","blocked","0",,,"","0","3","1","recipe","False",""
"another_furniture:acacia_flower_box","Acacia Flower Box","another_furniture","blocked","0",,,"","0","3","1","recipe","False",""
"another_furniture:acacia_grandfather_clock","acacia_grandfather_clock","another_furniture","blocked","0",,,"","0","0","0","","False",""
"another_furniture:acacia_lattice","Acacia Lattice","another_furniture","blocked","0",,,"","0","0","0","","False",""
"another_furniture:acacia_shelf","Acacia Shelf","another_furniture","blocked","0",,,"","0","2","1","recipe","False",""
"another_furniture:acacia_shutter","Acacia Shutter","another_furniture","blocked","0",,,"","0","1","1","recipe","False",""
"another_furniture:acacia_table","Acacia Table","another_furniture","blocked","0",,,"","0","2","1","recipe","False",""
"another_furniture:bamboo_bench","Bamboo Bench","another_furniture","blocked","0",,,"","0","2","1","recipe","False",""
"another_furniture:bamboo_chair","Bamboo Chair","another_furniture","blocked","0",,,"","0","2","1","recipe","False",""
"another_furniture:bamboo_drawer","Bamboo Drawer","another_furniture","blocked","0",,,"","0","3","1","recipe","False",""
"another_furniture:bamboo_flower_box","Bamboo Flower Box","another_furniture","blocked","0",,,"","0","3","1","recipe","False",""
"another_furniture:bamboo_grandfather_clock","bamboo_grandfather_clock","another_furniture","blocked","0",,,"","0","0","0","","False",""
"another_furniture:bamboo_lattice","Bamboo Lattice","another_furniture","blocked","0",,,"","0","0","0","","False",""
"another_furniture:bamboo_shelf","Bamboo Shelf","another_furniture","blocked","0",,,"","0","2","1","recipe","False",""
"another_furniture:bamboo_shutter","Bamboo Shutter","another_furniture","blocked","0",,,"","0","1","1","recipe","False",""
"another_furniture:bamboo_table","Bamboo Table","another_furniture","blocked","0",,,"","0","2","1","recipe","False",""
"another_furniture:birch_bench","Birch Bench","another_furniture","blocked","0",,,"","0","2","1","recipe","False",""
"another_furniture:birch_chair","Birch Chair","another_furniture","blocked","0",,,"","0","2","1","recipe","False",""
"another_furniture:birch_drawer","Birch Drawer","another_furniture","blocked","0",,,"","0","3","1","recipe","False",""
"another_furniture:birch_flower_box","Birch Flower Box","another_furniture","blocked","0",,,"","0","3","1","recipe","False",""
"another_furniture:birch_grandfather_clock","birch_grandfather_clock","another_furniture","blocked","0",,,"","0","0","0","","False",""
"another_furniture:birch_lattice","Birch Lattice","another_furniture","blocked","0",,,"","0","0","0","","False",""
"another_furniture:birch_shelf","Birch Shelf","another_furniture","blocked","0",,,"","0","2","1","recipe","False",""
"another_furniture:birch_shutter","Birch Shutter","another_furniture","blocked","0",,,"","0","1","1","recipe","False",""
"another_furniture:birch_table","Birch Table","another_furniture","blocked","0",,,"","0","2","1","recipe","False",""
"another_furniture:black_awning","Black Awning","another_furniture","blocked","0",,,"","0","0","0","","False",""
"another_furniture:black_curtain","Black Curtain","another_furniture","blocked","0",,"34","recipe","2","2","2","recipe","False",""
"another_furniture:black_lamp","Black Lamp","another_furniture","blocked","0",,,"","0","3","2","recipe","False",""
"another_furniture:black_sofa","Black Sofa","another_furniture","blocked","0",,"42","recipe","2","3","2","recipe","False",""
"another_furniture:black_stool","Black Stool","another_furniture","blocked","0",,"26","recipe","2","3","2","recipe","False",""
"another_furniture:black_tall_stool","Black Tall Stool","another_furniture","blocked","0",,"29","recipe","2","3","2","recipe","False",""
"another_furniture:blue_awning","Blue Awning","another_furniture","blocked","0",,,"","0","0","0","","False",""
"another_furniture:blue_curtain","Blue Curtain","another_furniture","blocked","0",,"34","recipe","2","2","2","recipe","False",""
"another_furniture:blue_lamp","Blue Lamp","another_furniture","blocked","0",,,"","0","3","2","recipe","False",""
"another_furniture:blue_sofa","Blue Sofa","another_furniture","blocked","0",,"42","recipe","2","3","2","recipe","False",""
"another_furniture:blue_stool","Blue Stool","another_furniture","blocked","0",,"26","recipe","2","3","2","recipe","False",""
"another_furniture:blue_tall_stool","Blue Tall Stool","another_furniture","blocked","0",,"29","recipe","2","3","2","recipe","False",""
"another_furniture:brown_awning","Brown Awning","another_furniture","blocked","0",,,"","0","0","0","","False",""
"another_furniture:brown_curtain","Brown Curtain","another_furniture","blocked","0",,"34","recipe","2","2","2","recipe","False",""
"another_furniture:brown_lamp","Brown Lamp","another_furniture","blocked","0",,,"","0","3","2","recipe","False",""
"another_furniture:brown_sofa","Brown Sofa","another_furniture","blocked","0",,"42","recipe","2","3","2","recipe","False",""
"another_furniture:brown_stool","Brown Stool","another_furniture","blocked","0",,"26","recipe","2","3","2","recipe","False",""
"another_furniture:brown_tall_stool","Brown Tall Stool","another_furniture","blocked","0",,"29","recipe","2","3","2","recipe","False",""
"another_furniture:cherry_bench","Cherry Bench","another_furniture","blocked","0",,,"","0","2","1","recipe","False",""
"another_furniture:cherry_chair","Cherry Chair","another_furniture","blocked","0",,,"","0","2","1","recipe","False",""
"another_furniture:cherry_drawer","Cherry Drawer","another_furniture","blocked","0",,,"","0","3","1","recipe","False",""
"another_furniture:cherry_flower_box","Cherry Flower Box","another_furniture","blocked","0",,,"","0","3","1","recipe","False",""
"another_furniture:cherry_grandfather_clock","cherry_grandfather_clock","another_furniture","blocked","0",,,"","0","0","0","","False",""
"another_furniture:cherry_lattice","Cherry Lattice","another_furniture","blocked","0",,,"","0","0","0","","False",""
"another_furniture:cherry_shelf","Cherry Shelf","another_furniture","blocked","0",,,"","0","2","1","recipe","False",""
"another_furniture:cherry_shutter","Cherry Shutter","another_furniture","blocked","0",,,"","0","1","1","recipe","False",""
"another_furniture:cherry_table","Cherry Table","another_furniture","blocked","0",,,"","0","2","1","recipe","False",""
"another_furniture:crimson_bench","Crimson Bench","another_furniture","blocked","0",,,"","0","2","1","recipe","False",""
"another_furniture:crimson_chair","Crimson Chair","another_furniture","blocked","0",,,"","0","2","1","recipe","False",""
"another_furniture:crimson_drawer","Crimson Drawer","another_furniture","blocked","0",,,"","0","3","1","recipe","False",""
"another_furniture:crimson_flower_box","Crimson Flower Box","another_furniture","blocked","0",,,"","0","3","1","recipe","False",""
"another_furniture:crimson_grandfather_clock","crimson_grandfather_clock","another_furniture","blocked","0",,,"","0","0","0","","False",""
"another_furniture:crimson_lattice","Crimson Lattice","another_furniture","blocked","0",,,"","0","0","0","","False",""
"another_furniture:crimson_planter_box","crimson_planter_box","another_furniture","blocked","0",,,"","0","0","0","","False",""
"another_furniture:crimson_shelf","Crimson Shelf","another_furniture","blocked","0",,,"","0","2","1","recipe","False",""
"another_furniture:crimson_shutter","Crimson Shutter","another_furniture","blocked","0",,,"","0","1","1","recipe","False",""
"another_furniture:crimson_table","Crimson Table","another_furniture","blocked","0",,,"","0","2","1","recipe","False",""
"another_furniture:cyan_awning","Cyan Awning","another_furniture","blocked","0",,,"","0","0","0","","False",""
"another_furniture:cyan_curtain","Cyan Curtain","another_furniture","blocked","0",,"34","recipe","2","2","2","recipe","False",""
"another_furniture:cyan_lamp","Cyan Lamp","another_furniture","blocked","0",,,"","0","3","2","recipe","False",""
"another_furniture:cyan_sofa","Cyan Sofa","another_furniture","blocked","0",,"42","recipe","2","3","2","recipe","False",""
"another_furniture:cyan_stool","Cyan Stool","another_furniture","blocked","0",,"26","recipe","2","3","2","recipe","False",""
"another_furniture:cyan_tall_stool","Cyan Tall Stool","another_furniture","blocked","0",,"29","recipe","2","3","2","recipe","False",""
"another_furniture:dark_oak_bench","Dark Oak Bench","another_furniture","blocked","0",,,"","0","2","1","recipe","False",""
"another_furniture:dark_oak_chair","Dark Oak Chair","another_furniture","blocked","0",,,"","0","2","1","recipe","False",""
"another_furniture:dark_oak_drawer","Dark Oak Drawer","another_furniture","blocked","0",,,"","0","3","1","recipe","False",""
"another_furniture:dark_oak_flower_box","Dark Oak Flower Box","another_furniture","blocked","0",,,"","0","3","1","recipe","False",""
"another_furniture:dark_oak_grandfather_clock","dark_oak_grandfather_clock","another_furniture","blocked","0",,,"","0","0","0","","False",""
"another_furniture:dark_oak_lattice","Dark Oak Lattice","another_furniture","blocked","0",,,"","0","0","0","","False",""
"another_furniture:dark_oak_shelf","Dark Oak Shelf","another_furniture","blocked","0",,,"","0","2","1","recipe","False",""
"another_furniture:dark_oak_shutter","Dark Oak Shutter","another_furniture","blocked","0",,,"","0","1","1","recipe","False",""
"another_furniture:dark_oak_table","Dark Oak Table","another_furniture","blocked","0",,,"","0","2","1","recipe","False",""
"another_furniture:furniture_hammer","Hammer","another_furniture","blocked","0",,"66","recipe","2","3","1","recipe","False",""
"another_furniture:gray_awning","Gray Awning","another_furniture","blocked","0",,,"","0","0","0","","False",""
"another_furniture:gray_curtain","Gray Curtain","another_furniture","blocked","0",,"34","recipe","2","2","2","recipe","False",""
"another_furniture:gray_lamp","Gray Lamp","another_furniture","blocked","0",,,"","0","3","2","recipe","False",""
"another_furniture:gray_sofa","Gray Sofa","another_furniture","blocked","0",,"42","recipe","2","3","2","recipe","False",""
"another_furniture:gray_stool","Gray Stool","another_furniture","blocked","0",,"26","recipe","2","3","2","recipe","False",""
"another_furniture:gray_tall_stool","Gray Tall Stool","another_furniture","blocked","0",,"29","recipe","2","3","2","recipe","False",""
"another_furniture:green_awning","Green Awning","another_furniture","blocked","0",,,"","0","0","0","","False",""
"another_furniture:green_curtain","Green Curtain","another_furniture","blocked","0",,"34","recipe","2","2","2","recipe","False",""
"another_furniture:green_lamp","Green Lamp","another_furniture","blocked","0",,,"","0","3","2","recipe","False",""
"another_furniture:green_sofa","Green Sofa","another_furniture","blocked","0",,"42","recipe","2","3","2","recipe","False",""
"another_furniture:green_stool","Green Stool","another_furniture","blocked","0",,"26","recipe","2","3","2","recipe","False",""
"another_furniture:green_tall_stool","Green Tall Stool","another_furniture","blocked","0",,"29","recipe","2","3","2","recipe","False",""
"another_furniture:jungle_bench","Jungle Bench","another_furniture","blocked","0",,,"","0","2","1","recipe","False",""
"another_furniture:jungle_chair","Jungle Chair","another_furniture","blocked","0",,,"","0","2","1","recipe","False",""
"another_furniture:jungle_drawer","Jungle Drawer","another_furniture","blocked","0",,,"","0","3","1","recipe","False",""
"another_furniture:jungle_flower_box","Jungle Flower Box","another_furniture","blocked","0",,,"","0","3","1","recipe","False",""
"another_furniture:jungle_grandfather_clock","jungle_grandfather_clock","another_furniture","blocked","0",,,"","0","0","0","","False",""
"another_furniture:jungle_lattice","Jungle Lattice","another_furniture","blocked","0",,,"","0","0","0","","False",""
"another_furniture:jungle_shelf","Jungle Shelf","another_furniture","blocked","0",,,"","0","2","1","recipe","False",""
"another_furniture:jungle_shutter","Jungle Shutter","another_furniture","blocked","0",,,"","0","1","1","recipe","False",""
"another_furniture:jungle_table","Jungle Table","another_furniture","blocked","0",,,"","0","2","1","recipe","False",""
"another_furniture:lamp_connector","Lamp Connector","another_furniture","blocked","0",,,"","0","0","0","","False",""
"another_furniture:light_blue_awning","Light Blue Awning","another_furniture","blocked","0",,,"","0","0","0","","False",""
"another_furniture:light_blue_curtain","Light Blue Curtain","another_furniture","blocked","0",,"34","recipe","2","2","2","recipe","False",""
"another_furniture:light_blue_lamp","Light Blue Lamp","another_furniture","blocked","0",,,"","0","3","2","recipe","False",""
"another_furniture:light_blue_sofa","Light Blue Sofa","another_furniture","blocked","0",,"42","recipe","2","3","2","recipe","False",""
"another_furniture:light_blue_stool","Light Blue Stool","another_furniture","blocked","0",,"26","recipe","2","3","2","recipe","False",""
"another_furniture:light_blue_tall_stool","Light Blue Tall Stool","another_furniture","blocked","0",,"29","recipe","2","3","2","recipe","False",""
"another_furniture:light_gray_awning","Light Gray Awning","another_furniture","blocked","0",,,"","0","0","0","","False",""
"another_furniture:light_gray_curtain","Light Gray Curtain","another_furniture","blocked","0",,"34","recipe","2","2","2","recipe","False",""
"another_furniture:light_gray_lamp","Light Gray Lamp","another_furniture","blocked","0",,,"","0","3","2","recipe","False",""
"another_furniture:light_gray_sofa","Light Gray Sofa","another_furniture","blocked","0",,"42","recipe","2","3","2","recipe","False",""
"another_furniture:light_gray_stool","Light Gray Stool","another_furniture","blocked","0",,"26","recipe","2","3","2","recipe","False",""
"another_furniture:light_gray_tall_stool","Light Gray Tall Stool","another_furniture","blocked","0",,"29","recipe","2","3","2","recipe","False",""
"another_furniture:lime_awning","Lime Awning","another_furniture","blocked","0",,,"","0","0","0","","False",""
"another_furniture:lime_curtain","Lime Curtain","another_furniture","blocked","0",,"34","recipe","2","2","2","recipe","False",""
"another_furniture:lime_lamp","Lime Lamp","another_furniture","blocked","0",,,"","0","3","2","recipe","False",""
"another_furniture:lime_sofa","Lime Sofa","another_furniture","blocked","0",,"42","recipe","2","3","2","recipe","False",""
"another_furniture:lime_stool","Lime Stool","another_furniture","blocked","0",,"26","recipe","2","3","2","recipe","False",""
"another_furniture:lime_tall_stool","Lime Tall Stool","another_furniture","blocked","0",,"29","recipe","2","3","2","recipe","False",""
"another_furniture:magenta_awning","Magenta Awning","another_furniture","blocked","0",,,"","0","0","0","","False",""
"another_furniture:magenta_curtain","Magenta Curtain","another_furniture","blocked","0",,"34","recipe","2","2","2","recipe","False",""
"another_furniture:magenta_lamp","Magenta Lamp","another_furniture","blocked","0",,,"","0","3","2","recipe","False",""
"another_furniture:magenta_sofa","Magenta Sofa","another_furniture","blocked","0",,"42","recipe","2","3","2","recipe","False",""
